director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords
Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,Crime Drama Thriller,a simple plan,bag of money found money minnesota screenplay adapted by author snow
Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,Horror Mystery Thriller,they,darkness friend kiss nightmare suicide
Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Comedy Romance,larry the cable guy: health inspector,diner food poisoning health inspector restaurant undercover
Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,Adventure Comedy Family Fantasy Musical,the adventures of elmo in grouchland,based on tv series blanket box office flop rescue sesame street
Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,Crime Drama Thriller,brooklyn's finest,catholic corrupt cop new york city police detective police officer killed
Nicholas Ray,Ava Gardner,David Niven,John Ireland,Action Adventure Drama History War,55 days at peking,ambassador boxer rebellion china colonialism peking china
Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Horror,evil dead,book of the dead demon h.p. lovecraft lesbian kiss promise
Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,Comedy Romance,my life in ruins,greece greek tour bus tour guide tourist
Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,Comedy Music,american dreamz,chief of staff contest president singing terrorist
Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,Action Adventure Family Sci-Fi,superman iv: the quest for peace,box office flop dc comics hair nuclear disarmament superman
Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,Drama,how she move,dance dance contest loss of sister step dancing teenager
Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,Action Crime Drama Thriller,running scared,adult child friendship corrupt cop fistfight gangster thug
Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,Biography Drama Romance Sport,bobby jones: stroke of genius,colon in title competition five word title golf temper
Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,Adventure Crime Drama Romance,shanghai surprise,china missionary opium villain year 1937
Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller,the illusionist,duchess illusionist magician prince supernatural power
Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,Adventure Horror Thriller,roar,chase dead man jungle killing a lion killing a tiger
Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,Biography Crime Drama Thriller,veronica guerin,criminal drug lord gunshot irish journalist
Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,Crime Drama Romance Thriller,escobar: paradise lost,colombia dream love surfer village
Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller,southland tales,amnesia boxer conspiracy police porn star
Guillaume Ivernel,Rob Paulsen,Jess Harnell,Mary Mouser,Adventure Animation Family Fantasy,dragon hunters,cgi film computer animation dragon hunter
Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,Sci-Fi,damnation alley,cockroach desert ghost town giant spider travel
Todd Lincoln,Julianna Guill,Rick Gomez,Tim Williams,Horror Thriller,the apparition,e mail evil spirit experiment fear supernatural
Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,Comedy Drama Family Romance,my girl,best friend funeral girl overalls summer
Steven Shainberg,Robert Downey Jr.,Ty Burrell,Matt Servitto,Biography Drama Romance,fur: an imaginary portrait of diane arbus,character name in title diane arbus male full frontal nudity photographer pubic hair
Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller,the illusionist,duchess illusionist magician prince supernatural power
Oliver Stone,Hal Holbrook,Tamara Tunie,James Karen,Crime Drama,wall street,1980s argument critique of capitalism f word fired from the job
Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance,sense and sensibility,1810s female protagonist horseback riding inheritance three word title
Julian Jarrold,Anne Hathaway,Julie Walters,Laurence Fox,Biography Drama Romance,becoming jane,country estate jane austen lady love writing
Joe Nussbaum,Danny Strong,Matt Long,Samm Levine,Comedy Romance,sydney white,college college girl female protagonist sorority sorority house
Vadim Perelman,Frances Fisher,Kim Dickens,Ron Eldard,Drama,house of sand and fog,auction home house iranian marriage
Peter Weir,Robin Williams,Josh Charles,Kurtwood Smith,Comedy Drama,dead poets society,education english teacher poet professor student
Peter Farrelly,Lauren Holly,Mike Starr,Teri Garr,Comedy,dumb & dumber,briefcase full of money character repeating someone else's dialogue character says i love you friendship reference to cinderella
Rob Reiner,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,Comedy Drama Romance,when harry met sally...,friendship love male female friendship new york sex
Sidney Lumet,Charlotte Rampling,James Mason,Jack Warden,Drama,the verdict,archdiocese court hospital lawyer malpractice
Todd Phillips,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,Comedy,road trip,blonde college friend highway travel road trip
Brian Robbins,Paul Walker,Ron Lester,Mark Walters,Comedy Drama Romance Sport,varsity blues,coach coyote popularity quarterback texas
Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,Comedy Drama Romance,the artist,1920s jack russell terrier modern silent movie movie star movie studio
David S. Goyer,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,Drama Fantasy Horror Mystery Thriller,the unborn,babysitting experiment nightmare possession twin
Wes Anderson,Bruce Willis,Bill Murray,Bob Balaban,Adventure Comedy Drama Romance,moonrise kingdom,1960s boy scouts boy scouts camp coming of age young love
Jonathan Liebesman,Matt Bomer,Jordana Brewster,Lew Temple,Horror,the texas chainsaw massacre: the beginning,cannibal car accident leatherface psychopath slaughterhouse
Cyrus Nowrasteh,Clive Russell,Vincent Walsh,Finn Ireland,Drama,the young messiah,based on novel
Perry Andelin Blake,Jennifer Esposito,Kenan Thompson,James Brolin,Comedy Family,the master of disguise,disguise mask master of disguise restaurant waiter
Guillermo del Toro,Ivana Baquero,Maribel Verdú,Sergi López,Drama Fantasy War,pan's labyrinth,fairy fairy tale faun princess spain
John Whitesell,Leslie Bibb,Angus T. Jones,Paul Sorvino,Action Comedy Crime Family,see spot run,boy fbi mailman van witness protection
John Singleton,Mo'Nique,Snoop Dogg,Angell Conwell,Crime Drama Romance Thriller,baby boy,cartoon on tv family relationships physical abuse single parent two word title
Christian E. Christiansen,Leighton Meester,Danneel Ackles,Frances Fisher,Drama Horror Thriller,the roommate,animal abuse(non graphic) cat killer college dead cat death of cat
Dennie Gordon,Brittany Daniel,Erik Per Sullivan,Fred Ward,Adventure Comedy Drama,joe dirt,first part grand canyon highway travel indian janitor
Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa,Action Crime,double impact,boat hong kong murder tunnel twins
Edgar Wright,Bill Bailey,Joe Cornish,Billie Whitelaw,Action Comedy Mystery,hot fuzz,accident conspiracy police police officer village
Diane English,Jada Pinkett Smith,Debi Mazar,Debra Messing,Comedy Drama,the women,beauty salon divorce fashion new york perfume
Woody Allen,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,Drama Romance,vicky cristina barcelona,art artist painter sex summer
Peter Flinth,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,Action Adventure Drama Romance War,arn: the knight templar,first part holy land knight templar monastery sword and shield
Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,Comedy,bad moms,lesbian kiss mom pta reference to mad max scene during end credits
Robert Iscove,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,Comedy Drama Romance,boys and girls,best friend break up friendship graduation male in underwear
Peter Kosminsky,Patrick Fugit,Cole Hauser,Marc Donato,Drama,white oleander,california foster home love oleander prison
Karyn Kusama,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,Comedy Fantasy Horror,jennifer's body,cannibalism cheerleader condom hook for hand satanic ritual
Nick Gomez,Will Ferrell,Jamie Lee Curtis,Tracey Walter,Comedy Crime Mystery,drowning mona,crying woman plot suspect waitress younger man older woman relationship
Woody Allen,Mike Starr,Don Pardo,Julie Kavner,Comedy,radio days,beach cigarette girl radio woman holding a baby working class
Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,Action Drama Fantasy Mystery Thriller,left behind,bible quote chaos faith riot shrine
Allen Coulter,Robert Pattinson,Lena Olin,Ruby Jerins,Drama Romance,remember me,binge drinking new york new york city september 11 2001 suicide
Clare Kilner,Dylan Baker,Alexandra Holden,Trent Ford,Comedy Drama Romance,how to deal,best friend high school mother sister wedding
Richard Benjamin,Jon Lovitz,Alyson Hannigan,Tony Jay,Comedy Romance Sci-Fi,my stepmother is an alien,alien earth female alien mission secret
Jonathan Demme,Denzel Washington,Tom Hanks,Jason Robards,Drama,philadelphia,aids city name in title gay homophobia lawyer
Josef Rusnak,Gretchen Mol,Craig Bierko,Brad William Henke,Mystery Sci-Fi Thriller,the thirteenth floor,amnesia barricade letter time virtual reality
Lance Rivera,Farrah Fawcett,Vincent Pastore,Jenifer Lewis,Comedy,the cookout,flatulence interracial marriage marriage
Ronald Neame,Martin Landau,Karl Malden,Brian Keith,Action Drama Sci-Fi Thriller,meteor,asteroid meteor nasa nuclear weapon satellite
Bruce Paltrow,Lochlyn Munro,Marian Seldes,Huey Lewis,Comedy Drama Music,duets,convict karaoke middle america salesman singer
Woody Allen,Woody Allen,Debra Messing,Treat Williams,Comedy Romance,hollywood ending,blind director psychosomatic blindness self deprecating studio
Adam Rifkin,Natasha Lyonne,Lin Shaye,Shannon Tweed,Comedy Music,detroit rock city,band concert high school kiss teenager
Russell Mulcahy,Christopher Lambert,Jon Polito,Celia Imrie,Action Adventure Fantasy,highlander,combat head cut off immortal scotland swordsman
Susanne Bier,Alison Lohman,Omar Benson Miller,Robin Weigert,Drama,things we lost in the fire,best friend dinner garage narcotics anonymous recovery
Kenneth Johnson,Charles Napier,Annabeth Gish,Hill Harper,Action Crime Sci-Fi,steel,fight gang junkyard military soldier
James Gray,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,Drama Romance,the immigrant,immigrant immigration magician money prostitution
James Ivory,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,Drama History Romance War,the white countess,countess diplomat japanese russian shanghai
Danny Boyle,Rosario Dawson,Spencer Wilding,Tuppence Middleton,Crime Drama Mystery Thriller,trance,amnesia criminal heist hypnotherapy lost painting
Jessy Terrero,Mo'Nique,Snoop Dogg,Tom Arnold,Comedy,soul plane,airline airplane bathroom sex toilet
Dany Boon,Dany Boon,Kad Merad,Michel Galabru,Comedy Romance,welcome to the sticks,alcohol alcoholic drink drunken man france provence
Vicente Amorim,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,Drama Romance War,good,censorship children corpse heil hitler suffering
Gaspar Noé,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,Drama Fantasy,enter the void,drug deal drugs explicit sex love stripper
Amy Heckerling,Taylor Negron,Justin Kirk,Ivan Sergei,Comedy Horror Romance,vamps,murder new york city one word title vampire vampire slayer
Lasse Hallström,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen,Drama Family,hachi: a dog's tale,dog human animal relationship japanese loyalty waiting
Jérôme Salle,Orlando Bloom,Tanya van Graan,Conrad Kemp,Crime Drama Thriller,zulu,apartheid corpse male nudity murder police officer
Tommy Lee Jones,Barry Corbin,Tim Blake Nelson,Miranda Otto,Drama Western,the homesman,abusive marriage pastor prison wagon roast pig suicide by hanging
Jesse Vaughan,Vivica A. Fox,Jenifer Lewis,Kevin Pollak,Comedy Drama Romance Sport,juwanna mann,basketball dodge viper hit in the crotch male nudity the star spangled banner
Atom Egoyan,David Alpay,Marie-Josée Croze,Charles Aznavour,Drama War,ararat,armenian armenian genocide customs agent genocide prayer
William Bindley,Bruce Dern,Jake Lloyd,William Shockley,Drama Sport,madison,boat racing hydroplane loyalty one word title scolding
Wayne Beach,Mekhi Phifer,LL Cool J,Fisher Stevens,Drama Mystery Thriller,slow burn,district attorney interview murder prosecutor reporter
Gérard Krawczyk,Carole Bouquet,Ryôko Hirosue,Michel Muller,Action Comedy Crime Drama Thriller,wasabi,french inheritance japan letter police detective hero
James Gunn,Dustin Milligan,Gregg Henry,Tania Saulnier,Comedy Horror Sci-Fi,slither,alien b movie sex slug small town
Martin Brest,Judge Reinhold,Ronny Cox,James Russo,Action Comedy Crime,beverly hills cop,drug dealer drugs murder police brutality police shootout
Chris Columbus,Macaulay Culkin,Devin Ratray,Catherine O'Hara,Comedy Family,home alone,airport child protagonist child swearing christmas home alone
Leonard Nimoy,Tom Selleck,Ted Danson,Steve Guttenberg,Comedy Drama Family,3 men and a baby,1980s baby heroin package questioned by police
Sydney Pollack,Bill Murray,Sydney Pollack,Teri Garr,Comedy Drama Romance,tootsie,actor actress friend love reputation
Tony Scott,Tom Cruise,Tom Skerritt,Adrian Pasdar,Action Drama Romance,top gun,flying gay subtext machismo male objectification pilot
Ang Lee,Chen Chang,Pei-Pei Cheng,Sihung Lung,Action Drama Romance,"crouching tiger, hidden dragon",bare midriff china magical realism martial arts sword
Sam Mendes,Kevin Spacey,Peter Gallagher,Ara Celi,Drama,american beauty,domestic violence drug dealer homosexuality midlife crisis unfaithfulness
Tom Hooper,Colin Firth,Jennifer Ehle,Derek Jacobi,Biography Drama History Romance,the king's speech,king king george vi speech speech therapist throne
Ivan Reitman,Kelly Preston,Tony Jay,Hugh O'Brian,Comedy Crime,twins,bare chested male brother catholic orphanage long lost siblings twins
Udayan Prasad,Kristen Stewart,Eddie Redmayne,William Hurt,Drama Romance,the yellow handkerchief,louisiana overalls road trip southern u.s. teenage boy
Steven Spielberg,Oprah Winfrey,Rae Dawn Chong,Dana Ivey,Drama,the color purple,book strap girl racial discrimination racial tension stereotype
JK Youn,Nicole Dionne,Ji-won Ha,Kyung-gu Sol,Action Comedy Drama Thriller,tidal wave,korea lifeguard single father tears tsunami
Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,Adventure Drama History,ben-hur,chariot race epic false accusation jerusalem slave
Morten Tyldum,Benedict Cumberbatch,Rory Kinnear,Allen Leech,Biography Drama Thriller War,the imitation game,crossword puzzle cryptography enigma code gay lead character world war two
Howard Zieff,Eileen Brennan,Albert Brooks,Alan Oppenheimer,Comedy War,private benjamin,camera shot of feet female stockinged feet loss of husband pantyhose suntan pantyhose
Michael Apted,Sissy Spacek,Beverly D'Angelo,Levon Helm,Biography Drama Music Musical,coal miner's daughter,country music kissing while having sex poverty singer title based on song
Thor Freudenthal,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,Comedy Family,diary of a wimpy kid,cheese diary friend middle school school
Andrés Muschietti,Javier Botet,Megan Charpentier,Isabelle Nélisse,Fantasy Horror,mama,aunt children death of sister forest hiding in a closet
John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,Horror Thriller,halloween,halloween masked killer michael myers slasher trick or treat
Harold Ramis,Beverly D'Angelo,Randy Quaid,Jane Krakowski,Adventure Comedy,national lampoon's vacation,amusement park dog family vacation national lampoon series vacation
Jeff Tremaine,Jackson Nicoll,Georgina Cates,Grasie Mercedes,Comedy,bad grandpa,child beauty pageant grandson hidden camera jackass road trip
Stephen Frears,Roger Allam,Sylvia Syms,Alex Jennings,Biography Drama,the queen,monarchy prime minister princess diana queen speech
Tim Burton,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,Comedy Fantasy,beetlejuice,attic ghost surrealism teenage girl yuppie
Tyler Perry,Michael Jai White,Tasha Smith,Lamman Rucker,Comedy Drama,why did i get married?,marriage overweight psychologist secret work
Gillian Armstrong,Christian Bale,Kirsten Dunst,Eric Stoltz,Drama Family Romance,little women,civil war female protagonist post civil war reference to friedrich schiller u.s. civil war
James Watkins,Daniel Radcliffe,Roger Allam,Jessica Raine,Drama Fantasy Horror Thriller,the woman in black,afterlife baby boy bird in a cage ghost reunited family
Simon West,Madeline Carroll,Tessa Thompson,Brian Geraghty,Horror Thriller,when a stranger calls,babysitting cell phone high school nightmare teenager
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,big fat liar,brunette film producer liar prank stunt
Michael Cimino,Robert De Niro,Meryl Streep,John Savage,Drama War,the deer hunter,escape friend party pittsburgh steelers vietnam
Barry Levinson,Robert De Niro,Kirsten Dunst,John Michael Higgins,Comedy Drama,wag the dog,death election hollywood president scandal
Jim Fall,Clayton Snyder,Adam Lamberg,Alex Borstein,Adventure Comedy Family Music Romance,the lizzie mcguire movie,best friend roma singer spaghetti teenager
Ric Roman Waugh,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,Action Drama Thriller,snitch,cigarette smoking dea drugs inspired by true events undercover
Michael Dougherty,Adam Scott,Conchata Ferrell,Allison Tolman,Comedy Fantasy Horror,krampus,christmas german holiday krampus santa claus
Robert Rodriguez,Jordana Brewster,Salma Hayek,Clea DuVall,Horror Mystery Sci-Fi,the faculty,alien high school ohio photographer water
Brian Gibson,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,Biography Drama Music,what's love got to do with it,abusive husband love singer tina turner violence
James Mangold,Robert De Niro,Sylvester Stallone,Janeane Garofalo,Crime Drama Thriller,cop land,corruption faked death falling off a roof internal affairs nypd
Joel Gallen,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,Comedy,not another teen movie,cheerleader foreign exchange student incestuous desire incestuous kiss prom
David Ayer,Jake Gyllenhaal,Anna Kendrick,America Ferrera,Crime Drama Thriller,end of watch,lapd police police officer south central los angeles street gang
Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray,Comedy Drama Romance,aloha,box office flop critically bashed hawaii one word title written by director
Rob Cohen,Paul Walker,Leslie Bibb,William Petersen,Action Crime Drama Thriller,the skulls,college friend ivy league secret society suicide
James Marsh,Eddie Redmayne,Emily Watson,Simon McBurney,Biography Drama Romance,the theory of everything,based on memoir cambridge university husband wife relationship lou gehrig's disease physicist
John Whitesell,Greg Grunberg,Regina Hall,Blair Underwood,Comedy Crime,malibu's most wanted,los angeles california person in car trunk racial impersonation south asian street gang
Matt Williams,Natalie Portman,James Frain,Stockard Channing,Comedy Drama Romance,where the heart is,birth oklahoma photographer tennessee wal mart
David Lean,Claude Rains,José Ferrer,Jack Hawkins,Adventure Biography Drama History War,lawrence of arabia,arab british military desert ottoman empire t.e. lawrence
Rob Zombie,Scout Taylor-Compton,Tyler Mane,Margot Kidder,Horror,halloween ii,halloween hospital michael myers rampage vomiting
Jean-Marc Vallée,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,Adventure Biography Drama,wild,female protagonist grief hiking loss of mother mother daughter relationship
Dennis Iliadis,Tony Goldwyn,Monica Potter,Martha MacIsaac,Crime Horror Thriller,the last house on the left,kidnapping lake microwave oven psychopath woods
Clare Kilner,Jack Davenport,Debra Messing,Holland Taylor,Comedy Romance,the wedding date,chick flick escort male escort wedding wedding date
Rick Rosenthal,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,Comedy Horror Thriller,halloween: resurrection,cult film halloween killer michael myers serial killer
Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Action Adventure Fantasy,clash of the titans,famous line hand to hand combat kraken rape zeus
Rob Reiner,Robin Wright,Carol Kane,André the Giant,Adventure Family Fantasy Romance,the princess bride,fairy tale giant pirate princess true love
Denzel Washington,Denzel Washington,Jurnee Smollett-Bell,John Heard,Biography Drama,the great debaters,college debate student texas wiley college
Nicolas Winding Refn,Ryan Gosling,Albert Brooks,Russ Tamblyn,Crime Drama,drive,kissing in an elevator mythical hero neo noir protective male silent protagonist
Sara Sugarman,Adam Garcia,Carol Kane,Glenne Headly,Comedy Family Music Romance,confessions of a teenage drama queen,band friend new york city suburb teenager
Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha,Comedy Drama Romance,the object of my affection,baby dancing gay name calling penis slur
Juan Carlos Fresnadillo,Jeremy Renner,Harold Perrineau,Catherine McCormack,Drama Horror Sci-Fi,28 weeks later,paris france rage sniper u.s. army zombie apocalypse
Thomas Carter,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,Drama Family Sport,when the game stands tall,coach high school football
Wayne Wang,Cicely Tyson,Luke Benward,Eva Marie Saint,Comedy Drama Family,because of winn-dixie,10 year old dog florida girl supermarket
Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,Omar Epps,Drama Romance Sport,love & basketball,basketball movie female basketball player high school nba title directed by female
George Armitage,Minnie Driver,Michael Cudlitz,Mitchell Ryan,Action Comedy Crime Romance Thriller,grosse pointe blank,assassin high school high school reunion reunion suburb
Phil Traill,Bradley Cooper,Katy Mixon,Beth Grant,Comedy Romance,all about steve,blind date crossword puzzle eccentric fall mine shaft
Joe Berlinger,Kim Director,Erica Leerhsen,Kurt Loder,Adventure Fantasy Horror Mystery Thriller,book of shadows: blair witch 2,convenience store digit in title punctuation in title violence witch
Andrew Fleming,Christine Taylor,Rachel True,Brenda Strong,Drama Fantasy Horror Thriller,the craft,coven occult outcast spell witch
Woody Allen,Scarlett Johansson,Mark Gatiss,Penelope Wilton,Drama Romance Thriller,match point,extramarital affair infidelity irony of fate surprise ending tennis
Elizabeth Allen Rosenbaum,Sierra McCormick,Hutch Dano,Jason Spevack,Adventure Comedy Family Fantasy,ramona and beezus,aunt cat death of pet girl no opening credits
James Ivory,Anthony Hopkins,Peter Vaughan,Ben Chaplin,Drama Romance,the remains of the day,butler housekeeper manor servant service
Paul Thomas Anderson,Don Cheadle,Nicole Ari Parker,Nina Hartley,Drama,boogie nights,1970s adult entertainment industry nightclub porn industry san fernando valley california
Robert Harmon,Kieran Culkin,Rosanna Arquette,Joss Ackland,Action Crime Drama Romance Thriller,nowhere to run,business escaped convict farm motorcycle widow
Michael Mayer,Alison Lohman,Danny Pino,Tim McGraw,Adventure Drama Family,flicka,father son relationship horse horse ranch ranch wild mustang
Martin Weisz,Jeff Kober,Daniella Alonso,Jacob Vargas,Horror,the hills have eyes ii,desert fight hill murder mutant
John Ottman,Loretta Devine,Joey Lawrence,Jacinda Barrett,Horror Mystery Thriller,urban legends: final cut,film set movie set sequel slow motion urban legend
Jay Russell,William Hurt,Sissy Spacek,Jonathan Jackson,Drama Family Fantasy Romance,tuck everlasting,fountain of youth immortality secret woods young man
John Bonito,Kelly Carlson,Firass Dirani,Drew Powell,Action Drama Thriller,the marine,beating marine muscleman tied up tough guy
Peter Atencio,Nia Long,Will Forte,Keegan-Michael Key,Action Comedy,keanu,car chase gangsta gun fight hitman kitten
Shana Feste,Leighton Meester,Cinda McCain,Tim McGraw,Drama Music,country strong,country music panties pink panties relapse songwriter
David Nutter,Bruce Greenwood,Ethan Embry,Katharine Isabelle,Horror Mystery Sci-Fi Thriller,disturbing behavior,blue ribbon high school jacket jock yogurt
Derek Cianfrance,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,Crime Drama Thriller,the place beyond the pines,bank carnival motorcycle police rookie cop
Roger Donaldson,Luke Bracey,Akie Kotabe,Will Patton,Action Crime Thriller,the november man,critically bashed premarital sex sex scene sex standing up stripper
Stephan Elliott,Jason Priestley,Patrick Bergin,Geneviève Bujold,Drama Mystery Thriller,eye of the beholder,chicago illinois false identity femme fatale new york city spying
Kathryn Bigelow,Jeremy Renner,Christian Camargo,Brian Geraghty,Drama History Thriller War,the hurt locker,army bomb dangerous job death iraq
Mark L. Lester,Heather Locklear,George C. Scott,David Keith,Action Horror Sci-Fi Thriller,firestarter,captain experiment fire psychic secret government agency
Andrew Dominik,Brad Pitt,Sam Shepard,Ben Mendelsohn,Crime Thriller,killing them softly,exploding car hit by a car poker game punched in the face shot to death
Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,Crime Drama Thriller,a most wanted man,intelligence intelligence agency secret service surveillance camera war on terror
Tom Green,Rip Torn,Harland Williams,Eddie Kaye Thomas,Comedy,freddy got fingered,animator bamboo cane cartoonist sausage slacker
Mike Nawrocki,Yuri Lowenthal,Cam Clarke,Phil Vischer,Adventure Animation Comedy Family,the pirates who don't do anything: a veggietales movie,17th century king pirate vegetable waiter
Catherine Owens,Bono,The Edge,Larry Mullen Jr.,Documentary Music,u2 3d,3d in title digit in title rock band rocker u2
Douglas Aarniokoski,Christopher Lambert,Adrian Paul,Adam Copeland,Action Adventure Fantasy Sci-Fi,highlander: endgame,battle explosion immortal revenge sequel to cult film
Bryan Barber,Cicely Tyson,Faizon Love,Bobb'e J. Thompson,Crime Drama Musical Romance,idlewild,gangster playing piano song and dance speakeasy written and directed by cast member
Lone Scherfig,Anne Hathaway,Jim Sturgess,Rafe Spall,Drama Romance,one day,23 year time span accidental death best friend loss of loved one male female friendship
Drew Barrymore,Daniel Stern,Jimmy Fallon,Alia Shawkat,Drama Sport,whip it,beauty pageant friend pageant roller derby texas
Brian Koppelman,Vin Diesel,Tom Noonan,Kevin Gage,Crime Drama Thriller,knockaround guys,mob mobster money montana sheriff
James Foley,Louis Lombardi,Brian Van Holt,Leland Orser,Crime Thriller,confidence,con grifter lap dance organized crime shot in the forehead
Albert Brooks,Jeff Bridges,Bradley Whitford,Albert Brooks,Comedy,the muse,directed by star muse satire screenwriter tiffany's
Irwin Winkler,Kevin McNally,Keith Allen,Sandra Nelson,Biography Drama Music Musical,de-lovely,cole porter composer love party tears
Woody Allen,Woody Allen,Larry David,Mia Farrow,Comedy Drama Romance,new york stories,12 year old artist hotel three word title written and directed by cast member
Steve Gomer,Trevor Morgan,Kyla Pratt,Shirley Douglas,Adventure Family,barney's great adventure,apostrophe in title critically bashed hit on the head with a ball punctuation in title tyrannosaurus rex
RZA,Rick Yune,RZA,Daniel Wu,Action,the man with the iron fists,blacksmith box office flop chop socky critically bashed village
Dean Parisot,Catherine O'Hara,Jake Busey,Shelley Duvall,Comedy Drama Romance,home fries,baby infidelity pilot pregnant waitress
Mark Piznarski,Bruce Greenwood,Chris Klein,Elaine Hendrix,Drama Romance,here on earth,diner love private school school small town
Terry Gilliam,Robert De Niro,Bob Hoskins,Jim Broadbent,Drama Sci-Fi,brazil,black comedy bureaucracy dream terrorist wrongful arrest
Sean McNamara,Oliver James,Rebecca De Mornay,Jason Ritter,Family Music Romance,raise your voice,music school scholarship small town stage fright three word title
Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,Comedy Crime,the big lebowski,death drug nihilism rug white russian
Craig Brewer,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,Drama Music,black snake moan,breasts nipples visible through clothing nudity rear entry sex white panties
Ron Shelton,Khandi Alexander,Dash Mihok,Michael Michele,Crime Drama Romance Thriller,dark blue,corrupt criminal investigation lapd police
Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,Biography Drama History Thriller War,a mighty heart,fbi journalist missing pakistan reporter
David Raynr,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,Comedy Drama Romance,whatever it takes,male objectification manipulative behavior modern day adaptation narcissistic woman promiscuous woman
Mort Nathan,Vivica A. Fox,Lin Shaye,Bob Gunton,Comedy,boat trip,gay hot air balloon rejecting a marriage proposal talking to a dog vomiting on someone
Oliver Parker,Colin Firth,Tom Wilkinson,Rupert Everett,Comedy Drama Romance,the importance of being earnest,comedy of manners false identity farce love period drama
Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,Fantasy Romance,the love letter,antique desk letter love time travel
Wil Shriner,Logan Lerman,Neil Flynn,Tim Blake Nelson,Adventure Comedy Family,hoot,fight florida montana owl school
Martin McDonagh,Elizabeth Berrington,Anna Madeley,Eric Godon,Comedy Crime Drama,in bruges,bruges bullet hope irish tourist
Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,Comedy Romance,peeples,african american
