director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords,comb
Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,Crime Fantasy Horror,from dusk till dawn,brother human versus vampire rapist stripper vampire,Quentin Tarantino Salma Hayek Cheech Marin Robert Rodriguez Crime Fantasy Horror brother human versus vampire rapist stripper vampire
Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,Animation Family Fantasy Mystery,pooh's heffalump movie,creature forest mother son relationship rabbit winnie the pooh,Kath Soucie Brenda Blethyn John Fiedler Frank Nissen Animation Family Fantasy Mystery creature forest mother son relationship rabbit winnie the pooh
Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,Comedy Drama Romance,home for the holidays,dinner gay interest gay sibling homosexual thanksgiving,Robert Downey Jr. Holly Hunter Steve Guttenberg Jodie Foster Comedy Drama Romance dinner gay interest gay sibling homosexual thanksgiving
Stephen Chow,Shengyi Huang,Chi Ling Chiu,Qiu Yuen,Action Comedy Crime Fantasy,kung fu hustle,1940s axe china gang sign language,Shengyi Huang Chi Ling Chiu Qiu Yuen Stephen Chow Action Comedy Crime Fantasy 1940s axe china gang sign language
Peter Hastings,Haley Joel Osment,Alex Rocco,Stephen Root,Comedy Family Music Musical,the country bears,animal in title bear box office flop disney satire,Haley Joel Osment Alex Rocco Stephen Root Peter Hastings Comedy Family Music Musical animal in title bear box office flop disney satire
Marc Forster,Mustafa Haidari,Shaun Toub,Khalid Abdalla,Drama,the kite runner,afghanistan based on novel boy friend kite,Mustafa Haidari Shaun Toub Khalid Abdalla Marc Forster Drama afghanistan based on novel boy friend kite
Alejandro G. Iñárritu,Naomi Watts,Eddie Marsan,Danny Huston,Drama,21 grams,accident faith love mathematician nonlinear timeline,Naomi Watts Eddie Marsan Danny Huston Alejandro G. Iñárritu Drama accident faith love mathematician nonlinear timeline
Paul Abascal,Cole Hauser,Tom Hollander,Kelly Carlson,Action Crime Drama Thriller,paparazzi,actor coma movie star paparazzi revenge,Cole Hauser Tom Hollander Kelly Carlson Paul Abascal Action Crime Drama Thriller actor coma movie star paparazzi revenge
Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick,Drama Fantasy Romance,twilight,blood high school love school vampire,Kristen Stewart Taylor Lautner Anna Kendrick Catherine Hardwicke Drama Fantasy Romance blood high school love school vampire
Chris Koch,Thomas Lennon,Lochlyn Munro,James Brolin,Comedy Romance,a guy thing,bachelor party climbing a tree taxi toilet wedding,Thomas Lennon Lochlyn Munro James Brolin Chris Koch Comedy Romance bachelor party climbing a tree taxi toilet wedding
Amy Heckerling,Andy Dick,Robert Miano,Zak Orth,Comedy Romance,loser,college loser love new york city overdose,Andy Dick Robert Miano Zak Orth Amy Heckerling Comedy Romance college loser love new york city overdose
Michael Moore,Ronald Reagan,Michael Moore,Bernie Sanders,Crime Documentary News,capitalism: a love story,capitalism critique of capitalism investment bank market economy plutocracy,Ronald Reagan Michael Moore Bernie Sanders Michael Moore Crime Documentary News capitalism critique of capitalism investment bank market economy plutocracy
George Stevens,Martin Landau,Carroll Baker,José Ferrer,Biography Drama History,the greatest story ever told,70mm film biblical epic faith jewish king herod,Martin Landau Carroll Baker José Ferrer George Stevens Biography Drama History 70mm film biblical epic faith jewish king herod
Billy Ray,Julia Roberts,Michael Kelly,Joe Cole,Crime Drama Mystery Thriller,secret in their eyes,digging a grave grave digging investigator police secret,Julia Roberts Michael Kelly Joe Cole Billy Ray Crime Drama Mystery Thriller digging a grave grave digging investigator police secret
Jason Friedberg,Carmen Electra,Tony Cox,Ike Barinholtz,Comedy,disaster movie,disaster glass mousetrap natural disaster scatological humor,Carmen Electra Tony Cox Ike Barinholtz Jason Friedberg Comedy disaster glass mousetrap natural disaster scatological humor
Nimród Antal,Andrew Fiscella,Fred Ward,Lorna Raver,Action Crime Thriller,armored,armored truck blood splatter die hard scenario guard heist,Andrew Fiscella Fred Ward Lorna Raver Nimród Antal Action Crime Thriller armored truck blood splatter die hard scenario guard heist
Jon Amiel,Bill Murray,Peter Gallagher,Joanne Whalley,Action Comedy Crime Thriller,the man who knew too little,assassin bomb dominatrix mistaken identity spy,Bill Murray Peter Gallagher Joanne Whalley Jon Amiel Action Comedy Crime Thriller assassin bomb dominatrix mistaken identity spy
Mark Mylod,Chris Evans,Ari Graynor,Ed Begley Jr.,Comedy Romance,what's your number?,ex boyfriend morning after prince charming quarrel womanizer,Chris Evans Ari Graynor Ed Begley Jr. Mark Mylod Comedy Romance ex boyfriend morning after prince charming quarrel womanizer
James Mather,Joseph Gilgun,Vincent Regan,Jacky Ido,Action Adventure Sci-Fi Thriller,lockout,bodyguard maximum security prison outer space president prison,Joseph Gilgun Vincent Regan Jacky Ido James Mather Action Adventure Sci-Fi Thriller bodyguard maximum security prison outer space president prison
Barry Levinson,Amy Poehler,Ariel Gade,Sam Lerner,Comedy,envy,best friend dog envy jealousy neighbor,Amy Poehler Ariel Gade Sam Lerner Barry Levinson Comedy best friend dog envy jealousy neighbor
Mark Neveldine,Jason Statham,Clifton Collins Jr.,David Carradine,Action Crime Sci-Fi Thriller,crank: high voltage,artificial heart heart horse penis prostitute stripper,Jason Statham Clifton Collins Jr. David Carradine Mark Neveldine Action Crime Sci-Fi Thriller artificial heart heart horse penis prostitute stripper
Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,Comedy Crime,bullets over broadway,actress bodyguard new york city play playwright,Jim Broadbent Chazz Palminteri Dianne Wiest Woody Allen Comedy Crime actress bodyguard new york city play playwright
Michael O. Sajbel,James Callis,Tiffany Dupont,Nimrat Kaur,Biography Drama History,one night with the king,biblical book of esther esther persia treachery,James Callis Tiffany Dupont Nimrat Kaur Michael O. Sajbel Biography Drama History biblical book of esther esther persia treachery
Phillip Noyce,Brendan Fraser,Tzi Ma,Holmes Osborne,Drama Mystery Romance Thriller War,the quiet american,american french saigon vietnam vietnamese,Brendan Fraser Tzi Ma Holmes Osborne Phillip Noyce Drama Mystery Romance Thriller War american french saigon vietnam vietnamese
Gore Verbinski,Nicolas Cage,Hope Davis,Michael Rispoli,Comedy Drama,the weather man,corndog failure funeral in the rain new york city weatherman,Nicolas Cage Hope Davis Michael Rispoli Gore Verbinski Comedy Drama corndog failure funeral in the rain new york city weatherman
Walter Hill,Fisher Stevens,Wes Studi,Jon Seda,Action Crime Drama Sport,undisputed,boxing fight heavyweight champion iceman prison,Fisher Stevens Wes Studi Jon Seda Walter Hill Action Crime Drama Sport boxing fight heavyweight champion iceman prison
David Koepp,Aasif Mandvi,Dequina Moore,Jordan Carlos,Comedy Drama Fantasy Romance,ghost town,bouquet of roses bright light cardiopulmonary resuscitation ghost white rose,Aasif Mandvi Dequina Moore Jordan Carlos David Koepp Comedy Drama Fantasy Romance bouquet of roses bright light cardiopulmonary resuscitation ghost white rose
Renny Harlin,Taylor Cole,Ashley Scott,Nick Gomez,Action Crime Thriller,12 rounds,2000s detective sadist terrorism terrorist,Taylor Cole Ashley Scott Nick Gomez Renny Harlin Action Crime Thriller 2000s detective sadist terrorism terrorist
Matt Reeves,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,Drama Fantasy Horror Mystery,let me in,blood boy night school vampire,Chloë Grace Moretz Dylan Minnette Kodi Smit-McPhee Matt Reeves Drama Fantasy Horror Mystery blood boy night school vampire
Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,Action Comedy Family,3 ninjas kick back,1990s dagger japan mousetrap stick fight,Victor Wong Dustin Nguyen Don Stark Charles T. Kanganis Action Comedy Family 1990s dagger japan mousetrap stick fight
Michel Gondry,Quinton Aaron,Mia Farrow,Melonie Diaz,Comedy,be kind rewind,friend power plant sabotage store clerk video store,Quinton Aaron Mia Farrow Melonie Diaz Michel Gondry Comedy friend power plant sabotage store clerk video store
Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,Comedy Drama Music War,mrs henderson presents,anti semitism breasts chamberlain friend theatre,Bob Hoskins Christopher Guest Sarah Solemani Stephen Frears Comedy Drama Music War anti semitism breasts chamberlain friend theatre
John Hillcoat,Kate Winslet,Norman Reedus,Clifton Collins Jr.,Action Crime Drama Thriller,triple 9,betrayal corrupt cop heist murder of a police officer police detective,Kate Winslet Norman Reedus Clifton Collins Jr. John Hillcoat Action Crime Drama Thriller betrayal corrupt cop heist murder of a police officer police detective
Woody Allen,Woody Allen,Lynn Cohen,Judy Davis,Comedy,deconstructing harry,marriage novelist panties pulled down writer's block writing,Woody Allen Lynn Cohen Judy Davis Woody Allen Comedy marriage novelist panties pulled down writer's block writing
Damon Santostefano,Matthew Perry,Oliver Platt,David Ramsey,Comedy Romance,three to tango,architect award farce love misunderstanding,Matthew Perry Oliver Platt David Ramsey Damon Santostefano Comedy Romance architect award farce love misunderstanding
John Wells,Bradley Cooper,Omar Sy,Riccardo Scamarcio,Comedy Drama,burnt,chef gay kiss michelin star restaurant violent behavior,Bradley Cooper Omar Sy Riccardo Scamarcio John Wells Comedy Drama chef gay kiss michelin star restaurant violent behavior
Neil Jordan,Robert De Niro,Demi Moore,James Russo,Comedy Crime,we're no angels,con convict escape police priest,Robert De Niro Demi Moore James Russo Neil Jordan Comedy Crime con convict escape police priest
Woody Allen,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,Comedy Musical Romance,everyone says i love you,engagement grandfather liberal maid song,Natasha Lyonne Gaby Hoffmann Jeff DeRocker Woody Allen Comedy Musical Romance engagement grandfather liberal maid song
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,death at a funeral,end credits roll call four word title funeral secret uncle,Peter Dinklage Ewen Bremner Kris Marshall Frank Oz Comedy end credits roll call four word title funeral secret uncle
James Wan,Aisha Tyler,Kelly Preston,Edi Gathegi,Action Crime Thriller,death sentence,blood death gang murder revenge,Aisha Tyler Kelly Preston Edi Gathegi James Wan Action Crime Thriller blood death gang murder revenge
Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,Adventure Drama,everybody's fine,bus trip parental love retirement surprise visit train ride,Robert De Niro James Frain Brendan Sexton III Kirk Jones Adventure Drama bus trip parental love retirement surprise visit train ride
Bob Clark,Scott Baio,Vanessa Angel,Peter Wingfield,Comedy Family Sci-Fi,superbabies: baby geniuses 2,computer good versus evil mind control science experiment sequel,Scott Baio Vanessa Angel Peter Wingfield Bob Clark Comedy Family Sci-Fi computer good versus evil mind control science experiment sequel
Les Mayfield,Callum Rennie,Will Patton,Cedric the Entertainer,Action Comedy Crime,code name: the cleaner,comic violence hand to hand combat kung fu talking to self in mirror violence,Callum Rennie Will Patton Cedric the Entertainer Les Mayfield Action Comedy Crime comic violence hand to hand combat kung fu talking to self in mirror violence
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,Comedy Crime Music,connie and carla,box office flop drag queen gender disguise mafia witness,Debbie Reynolds Nia Vardalos Dash Mihok Michael Lembeck Comedy Crime Music box office flop drag queen gender disguise mafia witness
Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,Comedy Drama Music Musical Romance,sweet charity,charity dancer foreign language adaptation hope taxi dancer,Sammy Davis Jr. Ricardo Montalban Ben Vereen Bob Fosse Comedy Drama Music Musical Romance charity dancer foreign language adaptation hope taxi dancer
Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,Comedy Crime Drama Mystery Romance,inherent vice,1960s based on novel ex boyfriend ex girlfriend relationship southern california voice over narration,Martin Dew Katherine Waterston Serena Scott Thomas Paul Thomas Anderson Comedy Crime Drama Mystery Romance 1960s based on novel ex boyfriend ex girlfriend relationship southern california voice over narration
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,Adventure Animation Comedy Family Fantasy,doogal,diamond lava magic mountain sorcerer,Jimmy Fallon Kylie Minogue Jon Stewart Dave Borthwick Adventure Animation Comedy Family Fantasy diamond lava magic mountain sorcerer
Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,Drama Music,battle of the year,3 dimensional box office flop critically bashed dancing,Chris Brown Caity Lotz Laz Alonso Benson Lee Drama Music 3 dimensional box office flop critically bashed dancing
David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,Comedy Fantasy,an american carol,arab stereotype box office flop documentary filmmaker filmmaker terrorist,Chriss Anglin Geoffrey Arend Gary Coleman David Zucker Comedy Fantasy arab stereotype box office flop documentary filmmaker filmmaker terrorist
Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,Action Comedy Crime Thriller,machete kills,arms dealer battle bomb machete missile,Alexa PenaVega Demián Bichir Marko Zaror Robert Rodriguez Action Comedy Crime Thriller arms dealer battle bomb machete missile
Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,Drama Horror Sci-Fi Thriller,willard,at work rat revenge vermin work,Laura Harring Ty Olsson Jackie Burroughs Glen Morgan Drama Horror Sci-Fi Thriller at work rat revenge vermin work
Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,Adventure Comedy,strange wilderness,bigfoot critically bashed ecuador friend tv show,Kevin Alejandro Ashley Scott Jeff Garlin Fred Wolf Adventure Comedy bigfoot critically bashed ecuador friend tv show
Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,Biography Comedy Drama History Music Musical,topsy-turvy,19th century exhibition gilbert and sullivan gilbert and sullivan's princess ida japanese,Jim Broadbent Dexter Fletcher Lesley Manville Mike Leigh Biography Comedy Drama History Music Musical 19th century exhibition gilbert and sullivan gilbert and sullivan's princess ida japanese
David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,Biography Drama Thriller,a dangerous method,carl jung patient psychoanalysis russian sigmund freud,Michael Fassbender Viggo Mortensen Sarah Gadon David Cronenberg Biography Drama Thriller carl jung patient psychoanalysis russian sigmund freud
Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,Animation Drama Mystery Sci-Fi Thriller,a scanner darkly,detective drugs substance d undercover undercover cop,Robert Downey Jr. Keanu Reeves Rory Cochrane Richard Linklater Animation Drama Mystery Sci-Fi Thriller detective drugs substance d undercover undercover cop
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,Biography Drama Sport,chasing mavericks,box office flop no opening credits surfing two word title year 1987,Gerard Butler Abigail Spencer Leven Rambin Michael Apted Biography Drama Sport box office flop no opening credits surfing two word title year 1987
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror Sci-Fi,alone in the dark,artifact creature darkness demon museum,Catherine Lough Haggquist Darren Shahlavi Karin Konoval Uwe Boll Horror Sci-Fi artifact creature darkness demon museum
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,Comedy Drama Family Music Romance,bandslam,battle of the bands high school rock 'n' roll school teenager,Scott Porter Charlie Saxton Ryan Donowho Todd Graff Comedy Drama Family Music Romance battle of the bands high school rock 'n' roll school teenager
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller,birth,birthday boy dead husband death widow,Cameron Bright Anne Heche Danny Huston Jonathan Glazer Drama Mystery Romance Thriller birthday boy dead husband death widow
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,Action Crime Drama Thriller,a most violent year,american dream immigrant new york city oil violence,David Oyelowo Ashley Williams Albert Brooks J.C. Chandor Action Crime Drama Thriller american dream immigrant new york city oil violence
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War,passchendaele,battle canadian armed forces canadian soldier directed by star veteran,Landon Liboiron Michael Greyeyes Caroline Dhavernas Paul Gross Drama History Romance War battle canadian armed forces canadian soldier directed by star veteran
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,Biography Drama,flash of genius,flash of genius genius intellectual property professor university,Dylan Authors Bill Lake Victoria Learn Marc Abraham Biography Drama flash of genius genius intellectual property professor university
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,Biography Drama Music,i'm not there.,1960s actor horseback riding reporter riding the rails,Christian Bale Heath Ledger Tyrone Benskin Todd Haynes Biography Drama Music 1960s actor horseback riding reporter riding the rails
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,Action Thriller,the cold light of day,driving a car down stairs duct tape gag held captive murder of a police officer sailing,Henry Cavill Bruce Willis Óscar Jaenada Mabrouk El Mechri Action Thriller driving a car down stairs duct tape gag held captive murder of a police officer sailing
Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance,the brothers bloom,con man eccentric heiress love revenge,Zachary Gordon Maximilian Schell Nora Zehetner Rian Johnson Adventure Comedy Drama Romance con man eccentric heiress love revenge
Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,Comedy Drama Romance,"synecdoche, new york",actress director play theatre director warehouse,Philip Seymour Hoffman Jennifer Jason Leigh Samantha Morton Charlie Kaufman Comedy Drama Romance actress director play theatre director warehouse
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy,princess mononoke,anime cult film forest princess studio ghibli,Minnie Driver Jada Pinkett Smith Billy Crudup Hayao Miyazaki Adventure Animation Fantasy anime cult film forest princess studio ghibli
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War,bon voyage,actress bordeaux german heavy water nazi,Isabelle Adjani Peter Coyote Virginie Ledoyen Jean-Paul Rappeneau Comedy Drama Mystery Romance Thriller War actress bordeaux german heavy water nazi
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography Comedy Musical,can't stop the music,male frontal nudity male full frontal nudity male nudity male rear nudity new york city,Steve Guttenberg Randy Jones Caitlyn Jenner Nancy Walker Biography Comedy Musical male frontal nudity male full frontal nudity male nudity male rear nudity new york city
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,Crime Drama Western,the proposition,aborigine foreboding gang hideout outlaw,Ray Winstone Noah Taylor Danny Huston John Hillcoat Crime Drama Western aborigine foreboding gang hideout outlaw
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,Biography Drama Sport,courage,coach football football movie football team high school sweethearts,Donny Boaz Finn Wittrock Brent Anderson Angelo Pizzo Biography Drama Sport coach football football movie football team high school sweethearts
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,Comedy Music,marci x,female protagonist hip hop jewish american princess rapper record label,Damon Wayans Jane Krakowski Paula Garcés Richard Benjamin Comedy Music female protagonist hip hop jewish american princess rapper record label
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,Action Drama Sci-Fi Thriller,equilibrium,cleric dystopia fascist law neo noir,Christian Bale Emily Watson Sean Pertwee Kurt Wimmer Action Drama Sci-Fi Thriller cleric dystopia fascist law neo noir
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,Drama War,the children of huang shi,british communist journalist nurse orphan,Radha Mitchell Guang Li Matthew Walker Roger Spottiswoode Drama War british communist journalist nurse orphan
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,Crime Drama Romance Thriller,the yards,best friend corruption fall to death female nudity friend,Charlize Theron Ellen Burstyn Faye Dunaway James Gray Crime Drama Romance Thriller best friend corruption fall to death female nudity friend
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical,the oogieloves in the big balloon adventure,balloon birthday box office flop critically bashed,Chazz Palminteri Garrett Clayton Toni Braxton Matthew Diamond Adventure Family Fantasy Musical balloon birthday box office flop critically bashed
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Drama Romance,by the sea,cheating wife cigarette smoking male in shower male nudity male rear nudity,Brad Pitt Angelina Jolie Pitt Melvil Poupaud Angelina Jolie Pitt Drama Romance cheating wife cigarette smoking male in shower male nudity male rear nudity
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller,steamboy,19th century ball boy inventor steam,William Hootkins Robin Atkin Downes Rosalind Ayres Katsuhiro Ôtomo Action Adventure Animation Family Sci-Fi Thriller 19th century ball boy inventor steam
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport,the game of their lives,1950s brazil soccer soccer movie world cup,Gerard Butler Costas Mandylor Jimmy Jean-Louis David Anspaugh Drama History Sport 1950s brazil soccer soccer movie world cup
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller,all good things,family business friend murder new york city trial,Ryan Gosling Kirsten Dunst Frank Langella Andrew Jarecki Crime Drama Mystery Romance Thriller family business friend murder new york city trial
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,rapa nui,easter island location in title statue topless female nudity two word title,Esai Morales Jason Scott Lee Sandrine Holt Kevin Reynolds Action Adventure Drama History Romance easter island location in title statue topless female nudity two word title
Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,Comedy Family Sci-Fi,cj7,father son relationship miracle school ufo written and directed by cast member,Jiao Xu Yuqi Zhang Chi Chung Lam Stephen Chow Comedy Family Sci-Fi father son relationship miracle school ufo written and directed by cast member
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Comedy Family Fantasy Sci-Fi,les couloirs du temps: les visiteurs ii,jewel knight magical potion sequel time travel comedy,Christian Clavier Philippe Nahon Marie-Anne Chazel Jean-Marie Poiré Comedy Family Fantasy Sci-Fi jewel knight magical potion sequel time travel comedy
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,dylan dog: dead of night,close up of eyes monster quirkiness supernatural vomiting,Marco St. John Laura Spencer Anita Briem Kevin Munroe Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller close up of eyes monster quirkiness supernatural vomiting
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery,people i know,actor client new york protection scandal,Al Pacino Richard Schiff Mark Webber Daniel Algrant Crime Drama Mystery actor client new york protection scandal
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,Comedy Drama Fantasy Romance,the tempest,banishment sorcery spirit staff storm at sea,Djimon Hounsou Reeve Carney Tom Conti Julie Taymor Comedy Drama Fantasy Romance banishment sorcery spirit staff storm at sea
Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller,regression,inspired by true events memory minnesota police year 1990,Emma Watson Aaron Ashmore Julian Richings Alejandro Amenábar Crime Drama Mystery Thriller inspired by true events memory minnesota police year 1990
Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,Romance Short,the touch,lesbian paris france period piece poem poetess,Necar Zadegan Traci Dinwiddie Elea Oberon Jane Clark Romance Short lesbian paris france period piece poem poetess
Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War,three kingdoms: resurrection of the dragon,art of war china civil war female warrior musician,Andy Lau Sammo Kam-Bo Hung Andy On Daniel Lee Action Drama History War art of war china civil war female warrior musician
Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,Crime Drama Thriller,shattered,daughter gun nanny sociopath suburb,Gerard Butler Nicholas Lea Callum Rennie Mike Barker Crime Drama Thriller daughter gun nanny sociopath suburb
Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family,zambezia,bird city name in title falcon one word title place name in title,Leonard Nimoy Phil LaMarr Noureen DeWulf Wayne Thornley Adventure Animation Comedy Family bird city name in title falcon one word title place name in title
Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History,ramanujan,ramanujan,Mani Bharathi Michael Lieber Kevin McGowan Gnana Rajasekaran Biography Drama History ramanujan
Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Animation,dwegons and leprechauns,dwegons,Joey D. Vieira Maggie Wheeler Jacqueline Lovell Tom Walsh Animation dwegons
Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Action Biography Drama Sport,hands of stone,boxer boxing three word title,Robert De Niro Jurnee Smollett-Bell Edgar Ramírez Jonathan Jakubowicz Action Biography Drama Sport boxer boxing three word title
James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,Action Crime Thriller,survivor,cigarette lighter death fire on the run terrorist,Milla Jovovich Roger Rees Robert Forster James McTeigue Action Crime Thriller cigarette lighter death fire on the run terrorist
Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller,the frozen ground,anchorage alaska based on true story pole dancer serial killer strip club,Nicolas Cage Radha Mitchell Jodi Lyn O'Keefe Scott Walker Crime Drama Mystery Thriller anchorage alaska based on true story pole dancer serial killer strip club
John Curran,Toby Jones,Sally Hawkins,Alan David,Drama Romance,the painted veil,china cholera epidemic love marriage,Toby Jones Sally Hawkins Alan David John Curran Drama Romance china cholera epidemic love marriage
Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Action Biography Crime Drama,the baader meinhof complex,bonn germany failed kidnapping handcuffs projectile terrorist,Moritz Bleibtreu Alexandra Maria Lara Martina Gedeck Uli Edel Action Biography Crime Drama bonn germany failed kidnapping handcuffs projectile terrorist
Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western,dances with wolves,friendship frontier honor outpost soldier,Mary McDonnell Michael Spears Maury Chaykin Kevin Costner Adventure Drama Western friendship frontier honor outpost soldier
Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,Comedy,bad teacher,boob job breast enlargement breast surgery cheating on a test ejaculation,Justin Timberlake John Michael Higgins Phyllis Smith Jake Kasdan Comedy boob job breast enlargement breast surgery cheating on a test ejaculation
Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller,sea of love,detective love single suspect title from song,Al Pacino Michael O'Neill Ellen Barkin Harold Becker Crime Drama Mystery Thriller detective love single suspect title from song
Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,Comedy Family Romance,a cinderella story,cinderella story correspondence evil step mother female protagonist teenage girl,Dan Byrd Lin Shaye Julie Gonzalo Mark Rosman Comedy Family Romance cinderella story correspondence evil step mother female protagonist teenage girl
Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery,scream,mask mystery killer slasher teenage girl telephone,David Arquette W. Earl Brown Roger Jackson Wes Craven Horror Mystery mask mystery killer slasher teenage girl telephone
Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Horror,thir13en ghosts,collector ghost ghost hunter glass house machine,Shannon Elizabeth Embeth Davidtz F. Murray Abraham Steve Beck Horror collector ghost ghost hunter glass house machine
Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,Drama Horror,the shining,breaking down a door haunted hotel identical twins labyrinth twin sisters,Scatman Crothers Shelley Duvall Joe Turkel Stanley Kubrick Drama Horror breaking down a door haunted hotel identical twins labyrinth twin sisters
Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi,back to the future,clock tower delorean future time travel time travel comedy,Lea Thompson Thomas F. Wilson J.J. Cohen Robert Zemeckis Adventure Comedy Sci-Fi clock tower delorean future time travel time travel comedy
William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller,house on haunted hill,billionaire corpse eccentric haunted hospital haunted house,Jeffrey Combs Peter Gallagher Bridgette Wilson-Sampras William Malone Horror Mystery Thriller billionaire corpse eccentric haunted hospital haunted house
